"Index","State","Population","ViolentCrimeTotal","Murder","Rape","Robbery","Assault","PropertyCrimeTotal","Burglary","LarcenyTheft","MotorVehicleTheft","ViolentCrimeRate","MurderRate","RapeRate","RobberyRate","AssaultRate","PropertyCrimeRate","BurglaryRate","LarcenyTheftRate","MotorVehicleTheftRate","stateNumber","abbrev"
"1","Alabama",4708708,21179,323,1504,6259,13093,177629,48837,117711,11081,449.8,6.9,31.9,132.9,278.1,3772.4,1037.2,2499.9,235.3,1,"AL"
"2","Alaska",698473,4421,22,512,655,3232,20577,3597,15291,1689,633,3.1,73.3,93.8,462.7,2946,515,2189.2,241.8,2,"AK"
"3","Arizona",6595778,26929,354,2110,8099,16366,234582,53412,155184,25986,408.3,5.4,32,122.8,248.1,3556.5,809.8,2352.8,394,3,"AZ"
"4","Arkansas",2889450,14959,179,1368,2582,10830,109038,34764,68171,6103,517.7,6.2,47.3,89.4,374.8,3773.7,1203.1,2359.3,211.2,4,"AR"
"5","California",36961664,174459,1972,8713,64093,99681,1009614,230137,615456,164021,472,5.3,23.6,173.4,269.7,2731.5,622.6,1665.1,443.8,5,"CA"
"6","Colorado",5024748,16976,175,2242,3387,11172,133968,26649,94861,12458,337.8,3.5,44.6,67.4,222.3,2666.2,530.4,1887.9,247.9,6,"CO"
"7","Connecticut",3518288,10508,107,651,3990,5760,82181,15073,59632,7476,298.7,3,18.5,113.4,163.7,2335.8,428.4,1694.9,212.5,7,"CT"
"8","Delaware",885122,5635,41,338,1671,3585,29648,6932,20809,1907,636.6,4.6,38.2,188.8,405,3349.6,783.2,2351,215.5,8,"DE"
"10","Florida",18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259,612.5,5.5,29.7,166.7,410.6,3840.8,981.1,2588.6,271.1,9,"FL"
"11","Georgia",9829211,41880,566,2301,14603,24410,360400,98362,228893,33145,426.1,5.8,23.4,148.6,248.3,3666.6,1000.7,2328.7,337.2,10,"GA"
"12","Hawaii",1295178,3559,22,392,1034,2111,47419,9178,33422,4819,274.8,1.7,30.3,79.8,163,3661.2,708.6,2580.5,372.1,11,"HI"
"13","Idaho",1545801,3530,22,552,245,2711,30741,6558,22741,1442,228.4,1.4,35.7,15.8,175.4,1988.7,424.2,1471.1,93.3,12,"ID"
"14","Illinois",12910409,64185,773,3901,22923,36588,353347,77850,248821,26676,497.2,6,30.2,177.6,283.4,2736.9,603,1927.3,206.6,13,"IL"
"15","Indiana",6423113,21404,310,1640,7352,12102,200160,48910,137371,13879,333.2,4.8,25.5,114.5,188.4,3116.2,761.5,2138.7,216.1,14,"IN"
"16","Iowa",3007856,8397,34,853,1195,6315,69441,16224,49329,3888,279.2,1.1,28.4,39.7,210,2308.7,539.4,1640,129.3,15,"IA"
"17","Kansas",2818747,11278,119,1096,1786,8277,90420,19469,64997,5954,400.1,4.2,38.9,63.4,293.6,3207.8,690.7,2305.9,211.2,16,"KS"
"18","Kentucky",4314113,11159,178,1509,3629,5843,108401,29701,72620,6080,258.7,4.1,35,84.1,135.4,2512.7,688.5,1683.3,140.9,17,"KY"
"19","Louisiana",4492076,27849,530,1359,6105,19855,170456,46246,112493,11717,620,11.8,30.3,135.9,442,3794.6,1029.5,2504.3,260.8,18,"LA"
"20","Maine",1318301,1579,26,376,399,778,31685,6728,23936,1021,119.8,2,28.5,30.3,59,2403.5,510.4,1815.7,77.4,19,"ME"
"21","Maryland",5699478,33623,438,1156,12007,20022,182422,37032,125771,19619,589.9,7.7,20.3,210.7,351.3,3200.7,649.7,2206.7,344.2,20,"MD"
"22","Massachusetts",6593587,30136,172,1701,7427,20836,151914,34665,105514,11735,457.1,2.6,25.8,112.6,316,2304,525.7,1600.3,178,21,"MA"
"23","Michigan",9969727,49547,627,4514,12330,32076,282918,75815,177720,29383,497,6.3,45.3,123.7,321.7,2837.8,760.5,1782.6,294.7,22,"MI"
"24","Minnesota",5266214,12842,74,1789,3619,7360,139083,25488,105076,8519,243.9,1.4,34,68.7,139.8,2641,484,1995.3,161.8,23,"MN"
"25","Mississippi",2951996,8304,190,939,2965,4210,87181,29162,52618,5401,281.3,6.4,31.8,100.4,142.6,2953.3,987.9,1782.5,183,24,"MS"
"26","Missouri",5987580,29444,383,1607,7452,20002,202698,43787,141432,17479,491.8,6.4,26.8,124.5,334.1,3385.3,731.3,2362.1,291.9,25,"MO"
"27","Montana",974989,2473,28,294,216,1935,24024,3386,19182,1456,253.6,2.9,30.2,22.2,198.5,2464,347.3,1967.4,149.3,26,"MT"
"28","Nebraska",1796619,5059,40,595,1219,3205,49614,8701,37432,3481,281.6,2.2,33.1,67.8,178.4,2761.5,484.3,2083.5,193.8,27,"NE"
"29","Nevada",2643085,18559,157,1021,6021,11360,80763,21994,46390,12379,702.2,5.9,38.6,227.8,429.8,3055.6,832.1,1755.1,468.4,28,"NV"
"30","New_Hampshire",1324575,2114,10,400,455,1249,28624,4928,22572,1124,159.6,0.8,30.2,34.4,94.3,2161,372,1704.1,84.9,29,"NH"
"31","New_Jersey",8707739,27121,319,1041,11639,14122,181097,37262,128327,15508,311.5,3.7,12,133.7,162.2,2079.7,427.9,1473.7,178.1,30,"NJ"
"32","New_Mexico",2009671,12440,175,1057,1870,9338,75078,22022,46580,6476,619,8.7,52.6,93.1,464.7,3735.8,1095.8,2317.8,322.2,31,"NM"
"33","New_York",19541453,75176,778,2586,28136,43676,378315,62842,293603,21870,384.7,4,13.2,144,223.5,1936,321.6,1502.5,111.9,32,"NY"
"34","North_Carolina",9380884,37929,494,2306,11825,23304,344098,107830,216244,20024,404.3,5.3,24.6,126.1,248.4,3668.1,1149.5,2305.2,213.5,33,"NC"
"35","North_Dakota",646844,1298,10,225,105,958,12502,2354,9296,852,200.7,1.5,34.8,16.2,148.1,1932.8,363.9,1437.1,131.7,34,"ND"
"36","Ohio",11542645,38332,519,4022,17782,16009,377553,104213,250450,22890,332.1,4.5,34.8,154.1,138.7,3270.9,902.9,2169.8,198.3,35,"OH"
"37","Oklahoma",3687050,18474,228,1529,3343,13374,131769,37975,83390,10404,501.1,6.2,41.5,90.7,362.7,3573.8,1030,2261.7,282.2,36,"OK"
"38","Oregon",3825657,9744,85,1168,2461,6030,113511,19377,84265,9869,254.7,2.2,30.5,64.3,157.6,2967.1,506.5,2202.6,258,37,"OR"
"39","Pennsylvania",12604767,47965,661,3651,17514,26139,277512,54797,204894,17821,380.5,5.2,29,138.9,207.4,2201.6,434.7,1625.5,141.4,38,"PA"
"40","Rhode_Island",1053209,2660,31,287,786,1556,27497,5749,19355,2393,252.6,2.9,27.3,74.6,147.7,2610.8,545.9,1837.7,227.2,39,"RI"
"41","South_Carolina",4561242,30596,287,1612,5735,22962,177369,45282,118521,13566,670.8,6.3,35.3,125.7,503.4,3888.6,992.8,2598.4,297.4,40,"SC"
"42","South_Dakota",812383,1508,21,445,111,931,13968,2479,10676,813,185.6,2.6,54.8,13.7,114.6,1719.4,305.2,1314.2,100.1,41,"SD"
"43","Tennessee",6296254,42041,461,1993,9647,29940,236365,63646,157746,14973,667.7,7.3,31.7,153.2,475.5,3754.1,1010.9,2505.4,237.8,42,"TN"
"44","Texas",24782302,121668,1328,8287,38035,74018,995145,240233,678353,76559,490.9,5.4,33.4,153.5,298.7,4015.5,969.4,2737.2,308.9,43,"TX"
"45","Utah",2784572,5924,37,905,1299,3683,91205,15159,69142,6904,212.7,1.3,32.5,46.6,132.3,3275.4,544.4,2483,247.9,44,"UT"
"46","Vermont",621760,817,7,124,111,575,14931,3452,11031,448,131.4,1.1,19.9,17.9,92.5,2401.4,555.2,1774.2,72.1,45,"VT"
"47","Virginia",7882590,17879,347,1511,6257,9764,191453,31576,148458,11419,226.8,4.4,19.2,79.4,123.9,2428.8,400.6,1883.4,144.9,46,"VA"
"48","Washington",6664195,22056,179,2539,6699,12639,244368,52791,167897,23680,331,2.7,38.1,100.5,189.7,3666.9,792.2,2519.4,355.3,47,"WA"
"49","West_Virginia",1819777,5396,84,433,917,3962,45981,11951,31289,2741,296.5,4.6,23.8,50.4,217.7,2526.7,656.7,1719.4,150.6,48,"WV"
"50","Wisconsin",5654774,14533,144,1108,4850,8431,147486,26740,111820,8926,257,2.5,19.6,85.8,149.1,2608.2,472.9,1977.4,157.8,49,"WI"
"51","Wyoming",544270,1242,13,184,77,968,14354,2230,11353,771,228.2,2.4,33.8,14.1,177.9,2637.3,409.7,2085.9,141.7,50,"WY"
